Word,Clue
BASEBALLBAT,You can't leave home with it
PUTALIDONIT,"""Quiet!,"" rudely"
ACUTEACCENT,Bit of décor?
GODIHOPENOT,"""Heaven forbid!"""
ROTTENAPPLE,"<em>""My iPhone never works!""</em>"
CLAUDEMONET,Painter whose cataract surgery allowed him to see and paint in ultraviolet
BOWLINGLANE,Where you might get the ball rolling
THEARTOFWAR,"Classic work with chapters titled ""Attack by Stratagem"" and ""Maneuvering an Army"""
IMAGINETHAT,"""Well, there's a surprise!"""
SILVERBELLS,"Christmas classic covered by Bing Crosby and Bob Dylan, among others"
ONTHEDOUBLE,"""Hurry up!"" to a batter?"
GETCRACKING,"""Hurry up!"" to an omelet chef?"
REHABCENTER,Addiction treatment locale
THATSABIGIF,Exclamation upon seeing this puzzle
TELEKINESIS,Brain power
SCARETACTIC,Strategy that stokes fear
CANYOUDIGIT,"""Capisce?,"" in '70s slang"
PALEBLUEDOT,*Iconic photograph taken by Voyager 1 at the request of Carl Sagan
GOOGLEEARTH,*Computer program that blurs out military installations
PLANETARIUM,*Facility where things are always looking up?
TWOTHUMBSUP,"""Siskel & Ebert & the Movies"" catchphrase"
FINALANSWER,"""Who Wants to Be a Millionaire"" catchphrase"
GREASEPAINT,It might be put on for stage PAGEANTRIES
CALLIGRAPHY,Writing done GRAPHICALLY
BLANKCANVAS,Artist's starting place
DOUBLECROSS,Betray ... or a hint to four answers in this puzzle
POPAWHEELIE,Be up for some biking?
EIGHTYEIGHT,Grand total?
NIGHTYNIGHT,"""Don't let the bedbugs bite!"""
MONSTERMASH,"Classic song that starts ""I was working in the lab late one night"" [2003, 1970]"
GRASSHOPPER,"Southern cocktail made with crème de menthe, crème de cacao and cream"
BLANKETTOSS,High-flying picnic game
JIMMORRISON,"Rock star who wrote the poetry collection ""The American Night"""
EYEINTHESKY,Observation satellite
COMICRELIEF,Jester's emotion after the king's laughter?
HAMOPERATOR,Radio amateur
NIPINTHEBUD,"Put an early stop to, literally"
PIEINTHESKY,"Unrealistic, as wishes, literally"
INDIGOGIRLS,Popular folk rock duo
IHAVENOCLUE,"""Beats me!"""
PASSTHEBUCK,Shift blame to someone else
GOLDENSPIKE,Finishing touch on the first transcontinental railroad
QUINCEANERA,15th birthday celebration
MEDICINEHAT,Alberta city named for an eagle-feather headdress
PACESETTERS,"""Rabbits"" in a race"
MEANSTREETS,Scorsese film added to the National Film Registry in 1997
COUCHPOTATO,TV addict
STOOLPIGEON,Blabbing informant
DOUBLEAGENT,Spy with questionable loyalty
HEARTHSTONE,*Online card game with over 100 million players
CHERRYSTONE,*Pit that's spit
CORNERSTONE,*Vital piece
NARCOLEPTIC,"Quick to fall asleep, in a way"
RHEAPERLMAN,"Four-time Emmy winner from Coney Island, N.Y."
KNUCKLEHEAD,Dummy
SPOILEDBRAT,Rotten kid
PRIVATEEYES,Detectives
LAPOFLUXURY,Very easy living
WATERHAZARD,"Where many a drive ends, unfortunately"
CHECKPLEASE,Restaurant request
POINTOFVIEW,Take
KRISKRINGLE,Stocking stuffer
SEANCONNERY,"*1962-67, 1971, 1983"
DANIELCRAIG,*2006-present
TROJANHORSE,"Malicious ""gift"""
MOUNTAINDEW,Beverage brand whose first mascot was Willy the Hillbilly
THEWESTWING,Onetime TV political drama set in Washington
SINGLESBARS,Result of a merger between Kraft and Hershey's?
POLOGROUNDS,Result of a merger between Ralph Lauren and Starbucks?
PEBBLEBEACH,California golf resort that has hosted six U.S. Opens
EASTERBUNNY,Animal that produces eggs once a year
ACHORUSLINE,"Show that opens with ""I Hope I Get It"""
UNDERTHESEA,"Oscar winner from ""The Little Mermaid"" for Best Original Song"
MISEENSCENE,"Staging and design, to a dramaturge"
ULTRAVIOLET,Just beyond the visible spectrum
TINPANALLEY,Manhattan strip synonymous with the golden age of American songwriting
DOLLYPARTON,"If you think country singers can't do hair, you haven't seen ___"
GOLDENEAGLE,Large bird of prey with a brownish-yellow neck
PRICKLYPEAR,Cactus with an edible fruit
RATTLESNAKE,Venomous predator with a vibrating tail
IMEANCOMEON,"""Oh, gimme a break!"""
ROMANEMPIRE,"Cassius Dio said it went ""from a kingdom of gold to one of rust and iron"""
CRASHHELMET,Motorcyclist's wear
SPARETHEROD,Start of a saying about parental discipline
ADOBEREADER,Page-previewing program
DRAFTCHOICE,Lager or I.P.A.?
