Word,Clue
FIELDHOUSE,Locale for athletic competition
GOONSTRIKE,"""Walk"""
ICECASTLES,Ephemeral palaces
TEAMEVENTS,"Relays, e.g."
AHAMOMENTS,Epiphanies
ARCTANGENT,Function whose output is 45° when applied to 1
THREATENED,"Like the red panda, blue whale and black rhino"
WALLTOWALL,Jam-packed
MELTINGPOT,Mix of many different cultures
LONDONAREA,Six Premier League teams play in it
NORESPONSE,[Silence]
SILVERWARE,"Forks and knives, e.g."
HOUSEPARTY,Group of Washington politicians?
SEMICIRCLE,Group of big rig haulers?
PARANORMAL,"Unexplained by science, say"
AIRQUALITY,What fuel economy standards might address
WAITLISTED,"Pending acceptance, in a way"
STORAGEFEE,Warehouse cost
LUXEMBOURG,Tiny neighbor of France
CLEARSKIES,Stargazer's need
MASSAPPEAL,"""Please continue your generous support of the church"""
WHITEBREAD,Healthy eaters may give this A WIDE BERTH
THOMASNAST,Cartoonist suggested by this puzzle's theme
INTERLAKEN,Swiss tourist destination
MUSICSTAND,Score keeper?
ONTHATNOTE,"Speaking of which ... or where the starts of 16-, 30- and 45-Across can be found?"
TANGENTIAL,Beside the point
CRIMENOVEL,"1981's ""Gorky Park"" or 2012's ""Gone Girl"""
NEWSCASTER,"I___, for one"
TOILETRIES,Items in a travel kit
PADDINGTON,"___ station, Central London railway terminal"
SEALEDBEAM,Kind of headlight on older cars
BONAPPETIT,"""Enjoy the food!"""
ALMICHAELS,"Sportscaster who memorably asked ""Do you believe in miracles?"""
LESSEREVIL,"Choice made while thinking ""ugh"""
PANTOMIMES,Staples of British Christmastime theater
THIRSTTRAP,Social media pic designed to attract sexual attention
CANNEDCORN,Del Monte or Green Giant product
HESDEADJIM,"""Star Trek"" catchphrase"
NONREADERS,Consumers of audio and visual media only
TANTAMOUNT,Equivalent
BARBARELLA,1968 Jane Fonda sci-fi role
ROLLWITHIT,"Be willing to accept whatever ... or a hint to the ends of 17-, 23-, 36- and 46-Across"
PAGELAYOUT,Newspaper designer's responsibility
MATCHPOINT,Climactic court moment
DOUBLEOVER,"React to a gut punch, perhaps"
DOUBLETREE,Hotel chain operated by Hilton
BRIGHTIDEA,Flash of genius
INBADSHAPE,Not doing so hot
HONORROLLS,90s groups?
EVENBETTER,"""Not just that ..."""
CRYFORHELP,Sign of distress
TRADEWINDS,Easterlies
NIAPEEPLES,"She played Nicole Chapman on ""Fame"""
LOLAFALANA,Entertainer once known as the Queen of Las Vegas
HEADBANGER,Heavy metal fan
JAZZERCISE,Alternative to Zumba
HITTHEDIRT,Drop down suddenly
STREETMEAT,"Halal cart fare, informally"
TRAILMIXES,"Snacks known as ""student fodder"" and ""scroggin"" in Germany and New Zealand, respectively"
MIDDLESEAT,What few fliers desire
BRUTEFORCE,One way to crack a code
STEREOTYPE,"Judge unfairly, say"
BEERGARDEN,Oktoberfest locale
ADULTMOVIE,Raw footage?
RIGHTONRED,Traffic go-ahead that should be followed four times in this puzzle
FEEFIFOFUM,Fairy tale chant from a giant ... or the ends of the answers to the starred clues
POTTYMOUTH,P-trap?
GIVESARIDE,"Drives home, say"
UNASSISTED,"___ triple play, baseball feat rarer than a perfect game"
EARTRUMPET,Old-timey hearing aid
LANECLOSED,Sign before merging
JANEAUSTEN,"""Pride and Prejudice"" novelist"
GLUTENFREE,Like bread made from almond flour
DONDELILLO,"Postmodern novelist who wrote ""White Noise"""
FLAMBOYANT,Attention-grabbing
ROCKYSTART,"Bumpy beginning ... or a hint to 18-, 24-, 36- and 52-Across"
ESTATESALE,Event for antique lovers
LEDERHOSEN,Oktoberfest garb
DEATHSTARE,Killer look
TREBLECLEF,&#119070;
CHAINSTORE,"Staples, e.g."
SAILORSUIT,*Donald Duck or Popeye?
INEEDAHAND,"""Come help me with this"""
CATTLECALL,"Open audition, informally"
ESCAPEPLAN,Need for a jailbreak
IMEANTOSAY,"""My point is ..."""
EMERILLIVE,Onetime Food Network show featuring Creole and Cajun cuisine
BARNEYFIFE,TV deputy of Mayberry [Bush 43]
MAJORSCALE,"C-D-E-F-G-A-B-C, e.g. [Biden]"
RHUBARBPIE,Baked dessert made with tart red stalks (and loads of sugar)
INABADSPOT,"Stuck, with no way out"
REPROACHES,Upbraids
PEACHYKEEN,Swell
PERMAFROST,Layer of soil that never thaws
BEERBREWER,One creating draft after draft?
BLOODDRIVE,Subject of a Sleeves Up campaign
COFFEEMATE,Nestle creamer
SLAMDANCES,Participates in a mosh pit
KNOCKITOFF,"""Quit fooling around!"""
CARDSHARKS,Ones making good use of the hands?
LEFTTACKLE,"Protector of a quarterback's blind side, often"
ONEBEDROOM,Studio upgrade
LEASETOOWN,Type of rental agreement
HAPPYPLACE,Comforting mental state
GAMETHEORY,Field of mathematics pioneered by John von Neumann
BARBIEDOLL,"She debuted on March 9, 1959, in a black-and-white striped swimsuit"
